"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"MEANSPEEDA";"MEANSPEEDB";"MEANlanes";"SUMMOTweek";"MEANMOTwee";"SUMMOTwerk";"MEANMOTwer";"SUMLVweek";"MEANLVweek";"SUMLVwerk";"MEANLVwerk";"accidents";"AlcoRet";"BasScho";"BicCross";"BikBarr";"BRcross";"BTStops";"ChilDay";"HighUni";"HosHot";"MotJun";"OSMcross";"PrioRigh";"Schools";"SecScho";"SpecScho";"TraffLi"
1;90000;4538,0537866;2333,18038955;83128,77;561,386789451;538,091361042;37,4766667684;39,5966657002667;2;8197,39937;2732,46645666667;9202,14885;3067,38295;7763,04995;2587,68331666667;8692,22108;2897,40702666667;1;1;1;3;1;3;2;1;1;1;1;1;2;1;1;1;1
2;90000;5464,61516647;968,867461957;83566,52;176,41909516;141,655461232;42,8100013733;49,1699981689;2;1907,71093;1907,71093;2142,46937;2142,46937;1813,82676;1813,82676;2023,3254;2023,3254;1;1;1;2;2;3;1;1;1;1;1;1;2;1;1;1;1
3;90000;38104,8186496;488,968162969;51406,21;144,279961629;178,411745543;42,8100013733;49,1699981689;2;5907,47169;1969,15723;6634,43132;2211,47710666667;5616,74729;1872,24909666667;6265,48672;2088,49557333333;1;2;1;4;1;6;2;2;1;1;1;1;1;1;1;1;1
4;90000;5661,54221836;21,5120776598;84316,95;375,383979516;583,692447037;38,5233332316;48,5566673279;2;8140,59027;2713,53009;9141,29384;3047,09794666667;7739,96737;2579,98912333333;8633,58683;2877,86227666667;1;1;1;2;2;3;2;1;1;1;1;1;1;1;1;1;1
5;90000;3412,89068759;1504,19658948;85082,91;553,644568615;538,122815872;40,5816675822167;46,48333358765;2;17496,35731;2916,05955166667;19648,11896;3274,68649333333;16635,30907;2772,55151166667;18555,18629;3092,53104833333;1;1;1;2;2;3;2;1;1;1;1;2;1;2;1;1;1
6;90000;9758,06600998;449,076556945;79792,86;503,72193894;223,161625208;0;0;0;0;0;0;0;0;0;0;0;1;1;2;5;1;13;2;1;1;1;1;3;1;2;1;1;1
7;90000;4979,21671023;60,285026165;84960,5;675,76508101;297,003525887;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;1;3;2;1;1;1;1;5;1;2;1;1;1
8;90000;8688,23264741;2512,00236145;78799,76;569,111464639;68,0887261409;41,0700006485;34,8025007248;2;27118,27619;3389,78452375;30493,94146;3811,7426825;25563,62799;3195,45349875;28514,2942;3564,286775;1;1;1;3;1;10;2;1;1;1;1;2;1;2;1;2;1
9;90000;5268,88026746;4486,88420853;80244,24;326,18221451;315,886791223;41,9066658019667;44,6400006612333;2;8863,70977;2954,56992333333;9953,34926;3317,78308666667;8427,49994;2809,16664666667;9400,19091;3133,39697;2;1;2;3;1;33;2;3;1;1;1;2;2;2;1;1;2
10;90000;1209,02941318;1811,52920691;86979,44;718,907887718;411,697424833;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;49;2;2;1;1;1;7;3;1;1;1;1
