"","ID","accidents","BasisSchoolsAmsterdam","BicyclePathsAmsterdamCrossings","BronNetworkCrossings","ChildDaycareAmsterdam2011","HighAndUniAmsterdam2011","OSMAlcoholBarsNightclubs","OSMbikeBarriers2014","OSMbusAndTramStops","OSMcrossings","OSMhostelsHotels","OSMmotorwayJunctions","OSMNetworkAmsterdamCrossings","PriorityToRight","SchoolsAmsterdam2011","SecondarySchoolsAmsterdam2011","SpecialSchoolsAmsterdam2011","TrafficLightsAmsterdam"
"81",81,24,1,5,93,11,NA,NA,2,3,1,1,NA,149,NA,4,1,NA,6
"82",82,4,1,18,29,8,NA,NA,1,5,4,1,NA,174,NA,2,1,NA,1
"83",83,36,1,8,92,2,NA,NA,1,2,6,NA,NA,161,NA,6,1,NA,1
"84",84,16,1,8,50,2,NA,NA,11,1,12,NA,NA,63,NA,5,1,NA,2
"85",85,60,2,4,41,3,NA,NA,1,2,19,NA,NA,108,NA,1,1,NA,1
"86",86,66,1,4,86,6,NA,NA,2,4,58,NA,NA,21,NA,6,1,NA,2
"87",87,21,1,2,3,14,NA,NA,4,1,1,NA,NA,98,NA,7,NA,NA,2
"88",88,12,3,25,73,2,NA,NA,1,4,1,NA,NA,52,NA,4,NA,NA,1
"89",89,54,2,7,103,3,NA,NA,2,6,6,NA,NA,101,NA,4,NA,NA,1
"90",90,61,2,22,78,2,NA,NA,4,9,7,NA,NA,208,NA,2,NA,NA,2
"91",91,26,1,7,126,3,NA,NA,1,2,16,NA,NA,170,NA,2,NA,NA,1
"92",92,94,2,22,117,3,NA,NA,13,5,14,NA,NA,99,NA,2,NA,NA,2
"93",93,29,1,8,42,1,NA,NA,1,4,19,NA,NA,18,NA,4,NA,NA,2
"94",94,2,4,27,9,1,NA,NA,5,4,12,NA,NA,16,NA,2,NA,NA,2
"95",95,135,1,14,23,5,NA,NA,1,2,14,NA,NA,143,NA,2,NA,NA,5
"96",96,71,1,5,3,6,NA,NA,2,7,39,NA,NA,180,NA,3,NA,NA,2
"97",97,14,1,8,3,2,NA,NA,3,2,1,NA,NA,133,NA,6,NA,NA,2
"98",98,52,1,18,95,2,NA,NA,1,8,11,NA,NA,173,NA,1,NA,NA,2
"99",99,66,4,12,78,7,NA,NA,1,2,10,NA,NA,184,NA,3,NA,NA,1
"100",100,86,2,21,3,3,NA,NA,1,5,6,NA,NA,40,NA,1,NA,NA,1
"101",101,3,1,13,3,2,NA,NA,1,8,6,NA,NA,55,NA,1,NA,NA,1
"102",102,1,1,12,7,3,NA,NA,1,5,15,NA,NA,44,NA,5,NA,NA,1
"103",103,1,1,20,3,1,NA,NA,1,5,14,NA,NA,35,NA,11,NA,NA,2
"104",104,50,1,23,78,1,NA,NA,2,2,10,NA,NA,70,NA,9,NA,NA,1
"105",105,14,1,3,129,1,NA,NA,7,4,4,NA,NA,193,NA,4,NA,NA,1
"106",106,33,1,14,42,2,NA,NA,3,8,7,NA,NA,163,NA,7,NA,NA,1
"107",107,10,1,14,5,2,NA,NA,8,1,2,NA,NA,3,NA,7,NA,NA,3
"108",108,54,1,45,7,2,NA,NA,1,5,21,NA,NA,6,NA,8,NA,NA,1
"109",109,1,3,26,76,8,NA,NA,1,4,8,NA,NA,8,NA,20,NA,NA,1
"110",110,8,1,19,6,2,NA,NA,1,3,1,NA,NA,4,NA,3,NA,NA,2
"111",111,5,1,42,3,4,NA,NA,2,4,14,NA,NA,43,NA,6,NA,NA,1
"112",112,5,2,16,9,1,NA,NA,4,6,3,NA,NA,23,NA,6,NA,NA,1
"113",113,32,1,34,21,2,NA,NA,2,1,1,NA,NA,9,NA,3,NA,NA,2
"114",114,95,1,21,20,4,NA,NA,10,1,2,NA,NA,15,NA,7,NA,NA,1
"115",115,3,1,20,19,5,NA,NA,2,3,2,NA,NA,126,NA,2,NA,NA,3
"116",116,3,1,14,67,4,NA,NA,5,4,2,NA,NA,159,NA,2,NA,NA,1
"117",117,110,3,3,45,3,NA,NA,1,6,7,NA,NA,49,NA,1,NA,NA,5
"118",118,76,1,2,115,2,NA,NA,1,4,24,NA,NA,9,NA,8,NA,NA,4
"119",119,43,2,7,92,1,NA,NA,1,4,11,NA,NA,6,NA,11,NA,NA,2
"120",120,45,1,2,118,1,NA,NA,1,2,18,NA,NA,11,NA,5,NA,NA,1
"121",121,136,1,21,23,2,NA,NA,1,3,8,NA,NA,131,NA,6,NA,NA,4
"122",122,91,2,2,6,5,NA,NA,1,1,6,NA,NA,75,NA,9,NA,NA,5
"123",123,47,2,18,18,3,NA,NA,1,6,4,NA,NA,9,NA,4,NA,NA,6
"124",124,54,1,25,42,2,NA,NA,1,4,1,NA,NA,10,NA,1,NA,NA,4
"125",125,23,1,4,39,1,NA,NA,5,5,14,NA,NA,9,NA,1,NA,NA,1
"126",126,27,1,20,6,1,NA,NA,3,3,8,NA,NA,4,NA,4,NA,NA,1
"127",127,56,1,9,6,2,NA,NA,11,2,2,NA,NA,11,NA,5,NA,NA,1
"128",128,113,1,18,33,2,NA,NA,1,3,18,NA,NA,16,NA,2,NA,NA,2
"129",129,111,1,30,13,3,NA,NA,2,2,10,NA,NA,4,NA,1,NA,NA,2
"130",130,70,1,10,26,4,NA,NA,4,1,2,NA,NA,22,NA,1,NA,NA,1
"131",131,72,5,34,3,2,NA,NA,2,5,10,NA,NA,22,NA,3,NA,NA,4
"132",132,238,2,17,43,5,NA,NA,4,5,1,NA,NA,5,NA,2,NA,NA,4
"133",133,150,1,45,16,1,NA,NA,1,2,7,NA,NA,25,NA,3,NA,NA,6
"134",134,299,1,14,50,2,NA,NA,1,2,15,NA,NA,4,NA,3,NA,NA,3
"135",135,131,1,33,43,2,NA,NA,4,3,5,NA,NA,6,NA,9,NA,NA,6
"136",136,64,1,19,53,3,NA,NA,8,2,17,NA,NA,14,NA,2,NA,NA,5
"137",137,71,2,12,24,2,NA,NA,23,3,3,NA,NA,2,NA,4,NA,NA,4
"138",138,62,3,26,10,2,NA,NA,2,6,3,NA,NA,39,NA,5,NA,NA,2
"139",139,113,1,12,140,4,NA,NA,3,5,1,NA,NA,6,NA,5,NA,NA,4
"140",140,59,1,3,74,2,NA,NA,1,7,27,NA,NA,72,NA,4,NA,NA,1
"141",141,77,2,2,80,5,NA,NA,2,4,6,NA,NA,72,NA,6,NA,NA,2
"142",142,12,1,15,33,2,NA,NA,1,6,14,NA,NA,29,NA,8,NA,NA,1
"143",143,31,1,18,39,3,NA,NA,1,8,13,NA,NA,41,NA,6,NA,NA,1
"144",144,11,1,2,25,2,NA,NA,4,3,9,NA,NA,212,NA,6,NA,NA,2
"145",145,106,2,10,120,2,NA,NA,3,3,6,NA,NA,180,NA,2,NA,NA,1
"146",146,76,2,6,154,2,NA,NA,2,2,10,NA,NA,168,NA,3,NA,NA,2
"147",147,95,1,14,30,5,NA,NA,2,5,2,NA,NA,293,NA,3,NA,NA,1
"148",148,44,2,7,6,6,NA,NA,1,10,6,NA,NA,259,NA,1,NA,NA,3
"149",149,14,2,22,72,2,NA,NA,7,6,23,NA,NA,120,NA,2,NA,NA,2
"150",150,26,3,9,72,1,NA,NA,2,10,10,NA,NA,98,NA,6,NA,NA,7
"151",151,37,1,20,134,1,NA,NA,3,2,2,NA,NA,37,NA,5,NA,NA,10
"152",152,4,2,33,126,6,NA,NA,2,2,2,NA,NA,122,NA,3,NA,NA,9
"153",153,17,1,9,53,3,NA,NA,3,3,1,NA,NA,77,NA,1,NA,NA,4
"154",154,9,1,27,42,3,NA,NA,1,2,9,NA,NA,10,NA,1,NA,NA,4
"155",155,174,3,20,14,5,NA,NA,2,5,4,NA,NA,8,NA,6,NA,NA,1
"156",156,15,1,14,51,1,NA,NA,1,4,1,NA,NA,83,NA,4,NA,NA,3
"157",157,156,1,22,40,1,NA,NA,1,1,1,NA,NA,131,NA,3,NA,NA,2
"158",158,50,3,34,93,2,NA,NA,1,2,8,NA,NA,169,NA,4,NA,NA,1
"159",159,31,1,14,112,3,NA,NA,4,2,10,NA,NA,128,NA,5,NA,NA,1
"160",160,55,3,36,105,10,NA,NA,2,6,9,NA,NA,71,NA,2,NA,NA,1
"161",161,57,1,3,82,6,NA,NA,3,4,1,NA,NA,97,NA,8,NA,NA,1
"162",162,120,1,6,50,8,NA,NA,1,3,1,NA,NA,85,NA,2,NA,NA,2
"163",163,84,1,13,81,2,NA,NA,4,12,8,NA,NA,150,NA,7,NA,NA,3
"164",164,11,1,16,75,1,NA,NA,2,2,1,NA,NA,101,NA,5,NA,NA,3
"165",165,87,1,17,211,1,NA,NA,2,2,3,NA,NA,216,NA,10,NA,NA,3
"166",166,9,1,3,47,3,NA,NA,1,3,2,NA,NA,165,NA,8,NA,NA,2
"167",167,66,1,6,3,3,NA,NA,1,2,1,NA,NA,63,NA,3,NA,NA,1
"168",168,196,1,3,131,1,NA,NA,1,2,2,NA,NA,270,NA,8,NA,NA,4
"169",169,25,NA,5,86,1,NA,NA,2,3,1,NA,NA,195,NA,2,NA,NA,4
"170",170,34,NA,6,6,4,NA,NA,1,4,2,NA,NA,250,NA,7,NA,NA,5
"171",171,34,NA,5,3,3,NA,NA,2,4,4,NA,NA,110,NA,4,NA,NA,3
"172",172,57,NA,2,42,1,NA,NA,3,4,3,NA,NA,130,NA,4,NA,NA,3
"173",173,50,NA,6,120,1,NA,NA,1,6,6,NA,NA,32,NA,6,NA,NA,1
"174",174,24,NA,8,131,1,NA,NA,2,3,23,NA,NA,170,NA,5,NA,NA,2
"175",175,135,NA,11,82,3,NA,NA,1,5,1,NA,NA,161,NA,3,NA,NA,1
"176",176,54,NA,8,270,1,NA,NA,4,6,4,NA,NA,37,NA,9,NA,NA,1
"177",177,202,NA,34,216,1,NA,NA,2,2,7,NA,NA,13,NA,8,NA,NA,3
"178",178,44,NA,37,120,7,NA,NA,1,4,4,NA,NA,203,NA,5,NA,NA,3
"179",179,125,NA,17,62,4,NA,NA,2,3,3,NA,NA,175,NA,3,NA,NA,3
"180",180,154,NA,6,98,3,NA,NA,1,2,3,NA,NA,203,NA,1,NA,NA,1
"181",181,263,NA,8,111,2,NA,NA,2,3,2,NA,NA,362,NA,1,NA,NA,2
"182",182,61,NA,4,55,2,NA,NA,NA,3,24,NA,NA,149,NA,10,NA,NA,2
"183",183,150,NA,16,167,2,NA,NA,NA,6,22,NA,NA,237,NA,4,NA,NA,4
"184",184,207,NA,16,140,1,NA,NA,NA,4,10,NA,NA,69,NA,3,NA,NA,10
"185",185,119,NA,13,125,1,NA,NA,NA,4,30,NA,NA,150,NA,4,NA,NA,7
"186",186,485,NA,6,105,1,NA,NA,NA,5,2,NA,NA,111,NA,6,NA,NA,5
"187",187,97,NA,6,128,6,NA,NA,NA,7,15,NA,NA,314,NA,1,NA,NA,1
"188",188,30,NA,19,174,1,NA,NA,NA,6,1,NA,NA,195,NA,1,NA,NA,1
"189",189,89,NA,3,132,2,NA,NA,NA,6,2,NA,NA,169,NA,1,NA,NA,1
"190",190,15,NA,2,117,1,NA,NA,NA,4,3,NA,NA,257,NA,2,NA,NA,2
"191",191,231,NA,2,155,1,NA,NA,NA,3,2,NA,NA,140,NA,4,NA,NA,1
"192",192,13,NA,7,159,2,NA,NA,NA,6,17,NA,NA,130,NA,3,NA,NA,1
"193",193,35,NA,8,159,1,NA,NA,NA,4,1,NA,NA,168,NA,14,NA,NA,1
"194",194,37,NA,15,9,3,NA,NA,NA,4,1,NA,NA,240,NA,9,NA,NA,1
"195",195,104,NA,22,14,5,NA,NA,NA,6,1,NA,NA,157,NA,11,NA,NA,1
"196",196,100,NA,11,10,2,NA,NA,NA,2,2,NA,NA,17,NA,5,NA,NA,2
"197",197,41,NA,22,49,1,NA,NA,NA,2,1,NA,NA,160,NA,10,NA,NA,3
"198",198,33,NA,39,86,2,NA,NA,NA,4,2,NA,NA,84,NA,14,NA,NA,8
"199",199,26,NA,29,139,1,NA,NA,NA,6,2,NA,NA,8,NA,6,NA,NA,2
"200",200,62,NA,11,151,1,NA,NA,NA,4,1,NA,NA,4,NA,5,NA,NA,1
"201",201,48,NA,6,119,1,NA,NA,NA,7,2,NA,NA,55,NA,1,NA,NA,1
"202",202,230,NA,14,138,2,NA,NA,NA,10,2,NA,NA,200,NA,2,NA,NA,2
"203",203,210,NA,9,108,1,NA,NA,NA,2,NA,NA,NA,143,NA,5,NA,NA,1
"204",204,238,NA,7,158,1,NA,NA,NA,5,NA,NA,NA,247,NA,4,NA,NA,3
"205",205,108,NA,3,105,6,NA,NA,NA,6,NA,NA,NA,360,NA,2,NA,NA,2
"206",206,160,NA,13,123,2,NA,NA,NA,2,NA,NA,NA,477,NA,1,NA,NA,2
"207",207,139,NA,17,48,1,NA,NA,NA,2,NA,NA,NA,377,NA,2,NA,NA,2
"208",208,258,NA,20,86,7,NA,NA,NA,1,NA,NA,NA,350,NA,4,NA,NA,3
"209",209,272,NA,54,137,3,NA,NA,NA,2,NA,NA,NA,246,NA,3,NA,NA,1
"210",210,91,NA,39,111,2,NA,NA,NA,4,NA,NA,NA,334,NA,4,NA,NA,3
"211",211,103,NA,15,107,1,NA,NA,NA,5,NA,NA,NA,92,NA,1,NA,NA,3
"212",212,65,NA,21,125,2,NA,NA,NA,2,NA,NA,NA,269,NA,10,NA,NA,2
"213",213,96,NA,10,144,1,NA,NA,NA,5,NA,NA,NA,207,NA,5,NA,NA,2
"214",214,82,NA,4,133,2,NA,NA,NA,1,NA,NA,NA,288,NA,4,NA,NA,1
"215",215,12,NA,6,110,4,NA,NA,NA,4,NA,NA,NA,163,NA,4,NA,NA,1
"216",216,9,NA,2,87,2,NA,NA,NA,2,NA,NA,NA,216,NA,1,NA,NA,1
"217",217,1,NA,6,134,2,NA,NA,NA,2,NA,NA,NA,269,NA,1,NA,NA,2
"218",218,17,NA,3,171,2,NA,NA,NA,3,NA,NA,NA,194,NA,3,NA,NA,2
"219",219,24,NA,2,61,1,NA,NA,NA,5,NA,NA,NA,395,NA,1,NA,NA,2
"220",220,5,NA,16,150,1,NA,NA,NA,2,NA,NA,NA,315,NA,2,NA,NA,1
"221",221,4,NA,33,127,2,NA,NA,NA,4,NA,NA,NA,228,NA,2,NA,NA,1
"222",222,28,NA,13,23,1,NA,NA,NA,3,NA,NA,NA,254,NA,2,NA,NA,1
"223",223,128,NA,24,4,1,NA,NA,NA,4,NA,NA,NA,50,NA,2,NA,NA,3
"224",224,60,NA,20,14,1,NA,NA,NA,2,NA,NA,NA,30,NA,2,NA,NA,1
"225",225,72,NA,17,45,2,NA,NA,NA,5,NA,NA,NA,2,NA,7,NA,NA,1
"226",226,176,NA,26,90,1,NA,NA,NA,4,NA,NA,NA,20,NA,2,NA,NA,1
"227",227,4,NA,8,21,1,NA,NA,NA,5,NA,NA,NA,49,NA,7,NA,NA,2
"228",228,1,NA,13,8,1,NA,NA,NA,8,NA,NA,NA,131,NA,2,NA,NA,1
"229",229,1,NA,23,40,2,NA,NA,NA,2,NA,NA,NA,200,NA,2,NA,NA,3
"230",230,24,NA,35,171,1,NA,NA,NA,3,NA,NA,NA,303,NA,3,NA,NA,1
"231",231,163,NA,6,94,1,NA,NA,NA,2,NA,NA,NA,316,NA,4,NA,NA,1
"232",232,2,NA,7,135,2,NA,NA,NA,4,NA,NA,NA,246,NA,3,NA,NA,2
"233",233,110,NA,5,154,1,NA,NA,NA,3,NA,NA,NA,292,NA,5,NA,NA,1
"234",234,2,NA,5,3,2,NA,NA,NA,6,NA,NA,NA,356,NA,8,NA,NA,1
"235",235,16,NA,11,2,1,NA,NA,NA,6,NA,NA,NA,243,NA,3,NA,NA,1
"236",236,16,NA,8,29,1,NA,NA,NA,2,NA,NA,NA,209,NA,2,NA,NA,1
"237",237,29,NA,16,45,2,NA,NA,NA,3,NA,NA,NA,149,NA,2,NA,NA,1
"238",238,115,NA,2,28,2,NA,NA,NA,3,NA,NA,NA,188,NA,1,NA,NA,2
"239",239,98,NA,3,8,1,NA,NA,NA,3,NA,NA,NA,190,NA,1,NA,NA,1
"240",240,148,NA,35,103,3,NA,NA,NA,4,NA,NA,NA,188,NA,2,NA,NA,1
"241",241,102,NA,10,145,1,NA,NA,NA,8,NA,NA,NA,184,NA,1,NA,NA,2
"242",242,48,NA,33,139,5,NA,NA,NA,2,NA,NA,NA,235,NA,4,NA,NA,1
"243",243,218,NA,18,145,4,NA,NA,NA,5,NA,NA,NA,252,NA,2,NA,NA,1
"244",244,96,NA,24,168,1,NA,NA,NA,6,NA,NA,NA,153,NA,2,NA,NA,2
"245",245,308,NA,9,123,1,NA,NA,NA,3,NA,NA,NA,168,NA,11,NA,NA,1
"246",246,154,NA,20,135,1,NA,NA,NA,21,NA,NA,NA,108,NA,2,NA,NA,1
"247",247,197,NA,30,176,4,NA,NA,NA,1,NA,NA,NA,219,NA,1,NA,NA,1
"248",248,49,NA,6,72,1,NA,NA,NA,1,NA,NA,NA,353,NA,9,NA,NA,1
"249",249,89,NA,28,122,2,NA,NA,NA,2,NA,NA,NA,278,NA,4,NA,NA,1
"250",250,337,NA,5,120,2,NA,NA,NA,2,NA,NA,NA,195,NA,3,NA,NA,2
"251",251,325,NA,23,71,1,NA,NA,NA,3,NA,NA,NA,168,NA,1,NA,NA,1
"252",252,176,NA,7,44,2,NA,NA,NA,2,NA,NA,NA,72,NA,2,NA,NA,2
"253",253,457,NA,9,129,NA,NA,NA,NA,1,NA,NA,NA,4,NA,3,NA,NA,1
"254",254,218,NA,10,149,NA,NA,NA,NA,3,NA,NA,NA,20,NA,4,NA,NA,1
"255",255,132,NA,9,159,NA,NA,NA,NA,2,NA,NA,NA,74,NA,1,NA,NA,4
"256",256,174,NA,5,72,NA,NA,NA,NA,2,NA,NA,NA,113,NA,2,NA,NA,6
"257",257,65,NA,7,113,NA,NA,NA,NA,3,NA,NA,NA,52,NA,5,NA,NA,1
"258",258,5,NA,8,144,NA,NA,NA,NA,4,NA,NA,NA,72,NA,4,NA,NA,1
"259",259,7,NA,5,146,NA,NA,NA,NA,2,NA,NA,NA,235,NA,1,NA,NA,1
"260",260,1,NA,11,153,NA,NA,NA,NA,4,NA,NA,NA,267,NA,5,NA,NA,1
"261",261,73,NA,4,132,NA,NA,NA,NA,4,NA,NA,NA,133,NA,4,NA,NA,1
"262",262,3,NA,10,12,NA,NA,NA,NA,3,NA,NA,NA,158,NA,3,NA,NA,4
"263",263,23,NA,10,32,NA,NA,NA,NA,3,NA,NA,NA,176,NA,1,NA,NA,1
"264",264,10,NA,7,9,NA,NA,NA,NA,8,NA,NA,NA,8,NA,1,NA,NA,1
"265",265,3,NA,32,23,NA,NA,NA,NA,5,NA,NA,NA,3,NA,3,NA,NA,2
"266",266,2,NA,17,15,NA,NA,NA,NA,4,NA,NA,NA,18,NA,1,NA,NA,1
"267",267,4,NA,34,10,NA,NA,NA,NA,5,NA,NA,NA,101,NA,3,NA,NA,1
"268",268,74,NA,11,52,NA,NA,NA,NA,1,NA,NA,NA,86,NA,2,NA,NA,3
"269",269,82,NA,2,78,NA,NA,NA,NA,6,NA,NA,NA,25,NA,1,NA,NA,NA
"270",270,152,NA,8,9,NA,NA,NA,NA,2,NA,NA,NA,35,NA,1,NA,NA,NA
"271",271,137,NA,4,11,NA,NA,NA,NA,3,NA,NA,NA,18,NA,1,NA,NA,NA
"272",272,16,NA,5,12,NA,NA,NA,NA,1,NA,NA,NA,14,NA,1,NA,NA,NA
"273",273,85,NA,2,66,NA,NA,NA,NA,2,NA,NA,NA,20,NA,3,NA,NA,NA
"274",274,101,NA,2,82,NA,NA,NA,NA,4,NA,NA,NA,6,NA,2,NA,NA,NA
"275",275,94,NA,11,109,NA,NA,NA,NA,2,NA,NA,NA,2,NA,3,NA,NA,NA
"276",276,79,NA,2,101,NA,NA,NA,NA,3,NA,NA,NA,310,NA,2,NA,NA,NA
"277",277,168,NA,15,3,NA,NA,NA,NA,2,NA,NA,NA,207,NA,4,NA,NA,NA
"278",278,222,NA,32,103,NA,NA,NA,NA,1,NA,NA,NA,197,NA,3,NA,NA,NA
"279",279,416,NA,9,137,NA,NA,NA,NA,2,NA,NA,NA,254,NA,2,NA,NA,NA
"280",280,362,NA,2,89,NA,NA,NA,NA,2,NA,NA,NA,349,NA,4,NA,NA,NA
"281",281,148,NA,22,77,NA,NA,NA,NA,4,NA,NA,NA,240,NA,3,NA,NA,NA
"282",282,236,NA,35,141,NA,NA,NA,NA,6,NA,NA,NA,304,NA,1,NA,NA,NA
"283",283,235,NA,25,111,NA,NA,NA,NA,3,NA,NA,NA,320,NA,6,NA,NA,NA
