"","ID","accidents","BasisSchoolsAmsterdam","BicyclePathsAmsterdamCrossings","BronNetworkCrossings","ChildDaycareAmsterdam2011","HighAndUniAmsterdam2011","OSMAlcoholBarsNightclubs","OSMbikeBarriers2014","OSMbusAndTramStops","OSMcrossings","OSMhostelsHotels","OSMmotorwayJunctions","OSMNetworkAmsterdamCrossings","PriorityToRight","SchoolsAmsterdam2011","SecondarySchoolsAmsterdam2011","SpecialSchoolsAmsterdam2011","TrafficLightsAmsterdam"
"1",1,1,1,3,3,1,2,1,1,2,2,1,1,27,2,1,1,1,1
"2",2,1,1,2,6,1,2,1,2,1,3,1,1,47,2,1,1,1,1
"3",3,1,2,4,3,3,3,1,1,3,1,1,2,31,1,2,1,1,1
"4",4,7,1,2,8,1,1,1,4,4,2,2,1,15,2,1,1,1,1
"5",5,16,1,2,9,1,1,1,1,2,7,1,1,27,1,4,1,1,5
"6",6,37,2,5,10,2,1,1,1,3,6,1,1,98,1,2,1,1,2
"7",7,13,1,4,43,1,2,1,1,2,11,1,1,89,1,2,1,2,1
"8",8,9,3,2,84,1,1,1,1,3,3,1,1,91,2,4,1,1,1
"9",9,1,1,3,15,3,1,1,1,3,2,1,1,62,3,2,1,1,1
"10",10,36,1,6,43,3,1,1,2,2,2,1,1,35,5,1,1,1,2
"11",11,46,1,2,7,1,1,1,1,4,1,1,1,9,4,3,1,1,1
"12",12,19,2,6,54,1,1,1,1,2,1,1,1,109,2,1,1,1,1
"13",13,19,1,3,88,1,1,1,2,3,11,1,1,146,2,3,1,1,4
"14",14,27,1,2,6,3,1,1,1,4,1,1,1,82,2,3,2,1,1
"15",15,78,1,2,117,1,1,1,3,4,10,1,1,108,1,2,1,1,2
"16",16,18,1,3,85,1,1,1,1,2,20,1,1,146,4,2,1,1,1
"17",17,35,1,2,43,2,1,2,1,2,2,1,1,176,1,3,1,1,2
"18",18,51,1,4,50,3,1,1,1,2,2,3,2,76,2,2,1,1,1
"19",19,6,1,3,90,4,3,1,3,10,8,1,1,207,2,1,1,1,1
"20",20,25,2,3,124,2,1,1,3,2,1,1,1,129,1,2,1,1,3
"21",21,4,2,4,71,1,1,1,4,3,9,1,1,97,1,2,2,1,1
"22",22,21,2,2,114,1,1,1,1,3,4,1,1,142,1,3,3,1,1
"23",23,181,1,5,48,2,1,1,1,2,1,1,1,40,2,9,1,3,1
"24",24,34,2,8,26,2,7,1,1,2,1,1,1,69,1,2,1,1,1
"25",25,40,1,6,89,3,5,1,1,2,16,1,2,197,1,3,1,1,1
"26",26,16,1,2,9,2,1,1,5,2,12,4,1,38,1,1,1,1,1
"27",27,10,1,8,78,5,2,1,2,2,1,1,1,101,1,5,1,1,1
"28",28,12,1,3,81,2,1,3,1,3,1,2,1,140,1,4,3,1,2
"29",29,19,3,2,14,1,1,1,1,2,15,1,1,83,1,5,1,1,1
"30",30,7,1,2,21,2,3,2,1,2,3,1,1,75,2,2,2,1,1
"31",31,8,2,9,25,3,4,5,1,4,2,1,1,24,4,6,1,1,1
"32",32,26,1,7,6,3,1,2,1,5,4,3,2,36,3,3,1,1,2
"33",33,6,1,2,43,1,1,1,1,6,17,4,1,56,1,1,1,1,1
"34",34,65,1,2,24,2,1,1,2,1,24,1,1,28,1,1,1,1,1
"35",35,32,1,3,48,2,8,1,2,4,14,5,1,129,1,4,1,1,1
"36",36,51,1,3,53,1,13,1,1,3,29,1,1,143,2,6,4,1,1
"37",37,77,1,3,99,3,2,2,2,4,33,1,1,177,2,5,2,1,1
"38",38,88,1,3,108,1,2,2,1,2,13,1,2,123,4,2,2,1,1
"39",39,50,2,3,43,3,2,1,2,5,5,6,1,114,4,3,1,1,1
"40",40,3,1,3,41,1,1,1,1,2,3,21,1,113,4,2,2,1,1
"41",41,3,1,3,16,1,1,1,3,3,9,1,1,99,2,1,2,1,1
"42",42,17,1,2,27,3,1,2,1,5,6,5,1,30,4,2,1,NA,2
"43",43,2,1,4,38,1,1,4,1,5,1,5,1,55,1,1,2,NA,4
"44",44,88,1,5,9,1,1,6,1,2,6,1,1,32,1,2,1,NA,2
"45",45,105,1,25,81,1,1,17,2,1,18,1,1,14,2,5,1,NA,3
"46",46,109,1,6,41,1,1,7,1,3,52,1,1,159,4,1,1,NA,1
"47",47,60,1,8,68,2,1,1,3,4,40,1,1,245,2,5,2,NA,1
"48",48,73,1,8,30,1,NA,2,1,1,22,1,1,147,1,3,1,NA,1
"49",49,60,1,16,105,1,NA,2,2,1,12,10,1,77,1,4,1,NA,1
"50",50,16,4,12,114,2,NA,1,1,4,5,7,1,102,2,3,1,NA,2
"51",51,30,1,4,17,1,NA,1,1,3,14,11,1,126,1,3,2,NA,2
"52",52,4,4,3,26,4,NA,1,1,4,8,4,1,96,3,1,1,NA,1
"53",53,9,3,2,77,3,NA,3,1,3,31,4,1,22,4,1,1,NA,3
"54",54,19,1,2,141,6,NA,2,1,5,24,1,1,9,1,1,1,NA,2
"55",55,31,3,3,137,2,NA,4,1,1,21,1,1,20,1,2,1,NA,1
"56",56,143,1,3,93,1,NA,11,4,1,8,1,2,85,2,1,3,NA,2
"57",57,70,1,5,117,1,NA,6,2,3,12,1,NA,130,2,1,2,NA,2
"58",58,62,2,3,69,1,NA,1,1,1,41,6,NA,326,2,2,1,NA,1
"59",59,33,1,8,7,3,NA,2,1,5,6,15,NA,245,1,2,1,NA,4
"60",60,27,2,4,16,2,NA,1,1,7,1,1,NA,137,1,1,2,NA,1
"61",61,17,2,12,18,2,NA,1,1,4,10,1,NA,174,1,1,1,NA,1
"62",62,31,2,24,3,1,NA,7,2,4,3,1,NA,104,NA,4,1,NA,1
"63",63,2,1,25,6,2,NA,1,2,4,2,1,NA,28,NA,1,2,NA,3
"64",64,2,2,5,3,2,NA,1,1,2,8,3,NA,10,NA,1,1,NA,2
"65",65,8,2,3,15,4,NA,1,1,1,33,5,NA,7,NA,1,1,NA,1
"66",66,10,1,2,63,2,NA,2,1,6,32,23,NA,9,NA,5,1,NA,3
"67",67,8,1,2,53,5,NA,1,1,4,57,13,NA,9,NA,10,1,NA,2
"68",68,95,1,7,137,5,NA,1,1,2,17,1,NA,4,NA,5,2,NA,1
"69",69,30,1,3,136,3,NA,2,2,2,9,1,NA,7,NA,1,1,NA,2
"70",70,44,1,7,64,1,NA,1,1,4,21,1,NA,22,NA,8,1,NA,2
"71",71,160,1,15,109,2,NA,1,2,2,22,1,NA,129,NA,3,1,NA,1
"72",72,37,2,18,92,4,NA,1,1,2,21,17,NA,179,NA,2,1,NA,2
"73",73,28,2,4,76,1,NA,1,1,2,18,1,NA,219,NA,1,1,NA,4
"74",74,4,1,31,129,2,NA,1,1,6,2,1,NA,341,NA,2,1,NA,1
"75",75,54,1,8,140,1,NA,NA,1,3,8,1,NA,169,NA,4,1,NA,1
"76",76,40,1,45,157,4,NA,NA,5,3,26,2,NA,151,NA,3,2,NA,5
"77",77,29,2,5,110,1,NA,NA,1,3,9,1,NA,88,NA,2,1,NA,3
"78",78,35,1,6,39,1,NA,NA,1,5,5,1,NA,5,NA,1,1,NA,4
"79",79,86,1,3,3,1,NA,NA,4,2,9,2,NA,106,NA,3,1,NA,2
"80",80,1,2,10,6,4,NA,NA,2,3,18,1,NA,188,NA,1,1,NA,2
