"","ID","accidents","BasisSchoolsAmsterdam","BicyclePathsAmsterdamCrossings","BronNetworkCrossings","ChildDaycareAmsterdam2011","HighAndUniAmsterdam2011","OSMAlcoholBarsNightclubs","OSMbikeBarriers2014","OSMbusAndTramStops","OSMcrossings","OSMhostelsHotels","OSMmotorwayJunctions","OSMNetworkAmsterdamCrossings","PriorityToRight","SchoolsAmsterdam2011","SecondarySchoolsAmsterdam2011","SpecialSchoolsAmsterdam2011","TrafficLightsAmsterdam"
"1",1,63,3,38,58,8,13,1,11,4,1,1,3,135,6,1,1,1,1
"2",2,318,4,86,307,8,6,2,4,14,10,25,5,745,1,11,1,1,6
"3",3,373,1,49,302,4,4,1,2,11,13,48,2,454,1,12,3,1,4
"4",4,130,3,22,189,7,6,1,5,7,5,10,6,334,3,5,1,2,3
"5",5,394,2,18,139,2,2,2,8,6,16,14,1,238,2,11,1,4,2
"6",6,5124,1,36,551,2,14,12,1,4,15,7,2,603,5,15,1,2,3
"7",7,1262,3,71,666,1,3,15,8,37,25,19,1,1140,4,7,2,1,28
"8",8,455,1,9,350,7,2,1,1,4,22,7,1,350,4,10,1,4,7
"9",9,509,2,11,205,6,1,20,5,9,4,1,2,224,11,3,2,1,13
"10",10,840,1,62,717,5,1,2,4,10,59,3,1,1084,4,15,2,1,19
"11",11,624,4,48,442,7,3,7,8,12,1,1,1,470,1,7,1,1,7
"12",12,668,1,24,403,10,2,12,7,22,6,2,1,627,2,12,4,1,15
"13",13,358,4,64,367,1,2,2,2,15,101,1,4,897,1,23,1,1,11
"14",14,234,4,49,464,7,2,1,12,17,59,2,4,972,1,12,2,1,5
"15",15,691,4,25,787,6,5,1,12,12,19,4,6,1968,2,3,1,2,5
"16",16,964,3,69,1079,5,1,1,3,38,9,1,2,2245,1,6,3,1,23
"17",17,251,5,20,112,4,1,2,4,5,24,4,1,258,4,9,4,1,4
"18",18,353,2,25,219,9,3,2,8,10,36,1,2,410,1,11,1,1,3
"19",19,233,6,17,186,8,5,2,6,5,60,14,1,277,2,6,1,1,5
"20",20,19,5,19,35,2,1,2,6,2,1,1,3,312,2,10,2,1,1
"21",21,500,2,32,644,9,1,1,4,8,207,1,3,926,4,21,1,1,4
"22",22,866,3,119,1114,11,1,10,4,20,125,1,2,1863,2,12,2,1,4
"23",23,357,2,50,717,2,4,2,1,17,18,6,5,1074,3,2,3,1,3
"24",24,102,1,36,311,7,4,2,4,2,150,7,1,573,10,15,3,1,9
"25",25,759,6,87,878,5,2,1,4,37,33,1,1,1820,1,18,1,1,3
"26",26,374,3,46,502,6,2,5,1,20,78,2,NA,1085,4,5,1,1,10
"27",27,122,2,16,298,4,NA,1,4,6,15,18,NA,532,2,14,7,3,8
"28",28,794,6,107,1179,6,NA,1,55,28,20,1,NA,2390,28,19,1,1,8
"29",29,768,2,208,590,9,NA,1,4,21,3,2,NA,1628,4,12,4,2,2
"30",30,985,4,87,458,11,NA,1,9,18,27,2,NA,1192,2,8,5,1,5
"31",31,216,1,11,163,2,NA,1,1,6,32,1,NA,189,NA,8,3,1,2
"32",32,293,2,17,200,12,NA,1,2,4,22,2,NA,268,NA,10,1,1,4
"33",33,351,1,10,192,2,NA,1,2,4,20,1,NA,373,NA,14,1,NA,10
"34",34,250,4,11,162,2,NA,1,2,4,7,2,NA,262,NA,2,1,NA,7
"35",35,468,4,36,96,17,NA,4,8,22,11,1,NA,231,NA,18,3,NA,7
"36",36,39,6,103,39,9,NA,1,4,6,8,2,NA,211,NA,6,1,NA,7
"37",37,800,4,26,541,19,NA,2,4,2,2,1,NA,1175,NA,6,1,NA,6
"38",38,231,1,29,170,10,NA,1,1,16,30,2,NA,380,NA,23,5,NA,5
"39",39,528,2,56,336,11,NA,1,1,8,18,1,NA,640,NA,12,2,NA,1
"40",40,461,3,41,252,7,NA,1,1,11,22,1,NA,424,NA,27,2,NA,3
"41",41,965,1,35,301,8,NA,1,2,3,77,3,NA,441,NA,14,2,NA,2
"42",42,496,1,77,255,14,NA,1,2,10,19,6,NA,364,NA,16,1,NA,5
"43",43,163,4,9,227,10,NA,2,2,8,10,5,NA,279,NA,7,1,NA,15
"44",44,369,1,35,363,6,NA,5,6,6,10,2,NA,689,NA,11,1,NA,7
"45",45,301,3,122,111,12,NA,3,1,22,13,2,NA,218,NA,29,4,NA,10
"46",46,234,5,70,228,6,NA,3,5,10,4,NA,NA,883,NA,18,1,NA,2
"47",47,1146,3,98,644,9,NA,3,2,10,1,NA,NA,1364,NA,17,3,NA,11
"48",48,416,6,9,447,7,NA,1,2,2,6,NA,NA,877,NA,23,1,NA,10
"49",49,495,3,100,483,5,NA,1,1,22,2,NA,NA,883,NA,7,3,NA,5
"50",50,72,3,25,38,9,NA,NA,2,9,10,NA,NA,83,NA,11,3,NA,5
"51",51,644,6,66,602,10,NA,NA,5,5,21,NA,NA,1064,NA,15,1,NA,4
"52",52,213,1,43,188,4,NA,NA,5,16,32,NA,NA,260,NA,2,3,NA,8
"53",53,326,6,77,241,6,NA,NA,1,15,4,NA,NA,767,NA,9,2,NA,2
"54",54,605,3,17,309,8,NA,NA,10,2,43,NA,NA,916,NA,20,1,NA,3
"55",55,409,3,21,720,9,NA,NA,1,9,10,NA,NA,1233,NA,16,NA,NA,3
"56",56,248,2,74,222,12,NA,NA,1,8,4,NA,NA,314,NA,7,NA,NA,10
"57",57,470,1,21,345,9,NA,NA,6,3,9,NA,NA,722,NA,13,NA,NA,4
"58",58,415,6,49,321,10,NA,NA,8,14,5,NA,NA,578,NA,13,NA,NA,13
