"","ID","accidents","BasisSchoolsAmsterdam","BicyclePathsAmsterdamCrossings","BronNetworkCrossings","ChildDaycareAmsterdam2011","HighAndUniAmsterdam2011","OSMAlcoholBarsNightclubs","OSMbikeBarriers2014","OSMbusAndTramStops","OSMcrossings","OSMhostelsHotels","OSMmotorwayJunctions","OSMNetworkAmsterdamCrossings","PriorityToRight","SchoolsAmsterdam2011","SecondarySchoolsAmsterdam2011","SpecialSchoolsAmsterdam2011","TrafficLightsAmsterdam"
"1",1,1,1,3,3,1,1,1,1,2,1,1,1,40,2,1,1,1,1
"2",2,1,1,2,3,1,1,1,2,1,1,1,1,11,2,1,1,1,1
"3",3,21,1,4,6,2,1,2,1,2,1,1,1,4,1,1,1,1,1
"4",4,1,1,2,3,1,1,1,2,2,1,1,1,4,1,1,1,1,1
"5",5,10,1,2,3,1,1,1,2,2,2,1,1,41,1,2,1,1,1
"6",6,6,2,5,13,1,1,1,1,2,3,1,1,20,1,2,1,1,1
"7",7,12,1,4,3,1,1,1,1,2,5,1,1,6,1,2,1,1,1
"8",8,7,1,3,10,1,1,1,1,2,2,1,1,6,1,2,1,2,1
"9",9,9,2,3,33,3,1,1,1,2,2,1,1,27,2,2,1,1,2
"10",10,7,2,2,49,2,1,1,2,2,7,1,1,61,3,1,1,1,1
"11",11,2,1,4,39,1,1,1,1,2,7,1,1,34,5,3,1,1,1
"12",12,1,3,2,11,1,3,1,1,2,4,1,1,50,1,3,1,1,1
"13",13,2,1,5,12,3,1,1,1,2,2,1,1,55,1,1,1,1,1
"14",14,21,1,3,31,1,1,1,1,3,2,1,1,41,2,1,1,1,1
"15",15,3,2,4,31,2,1,1,1,3,1,1,1,40,4,1,1,1,1
"16",16,6,1,3,21,1,2,1,1,1,12,2,1,23,2,3,1,1,1
"17",17,2,1,3,12,1,1,1,1,2,10,1,1,24,2,3,1,1,1
"18",18,11,3,2,47,2,1,1,3,2,1,2,1,15,4,1,1,1,1
"19",19,13,1,3,31,1,1,2,3,2,11,1,1,60,1,3,1,1,1
"20",20,14,1,2,17,1,1,1,1,1,2,1,1,37,1,1,1,1,1
"21",21,39,1,2,43,1,2,1,2,2,8,1,1,29,2,1,1,1,1
"22",22,16,1,2,25,1,1,1,1,2,8,1,1,18,1,1,1,1,1
"23",23,11,1,2,12,1,1,1,1,4,1,1,1,42,1,5,2,1,1
"24",24,5,2,4,12,2,1,1,1,2,1,2,1,63,1,1,1,1,1
"25",25,35,1,2,28,2,1,1,1,2,2,1,1,61,1,2,1,1,1
"26",26,5,1,3,11,1,1,1,4,1,9,1,1,75,1,1,2,1,1
"27",27,22,1,2,4,1,2,1,2,2,12,1,1,54,2,3,1,1,1
"28",28,31,1,6,43,1,1,1,1,2,1,1,2,28,1,2,1,1,2
"29",29,7,1,2,60,2,2,1,5,1,1,2,1,50,1,1,2,1,1
"30",30,2,1,5,57,1,1,2,2,2,7,1,1,62,1,5,1,3,2
