"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"accidents";"frequency";"BasisSchoolsAmsterdam";"BicyclePathsAmsterdamCrossings";"BronNetworkCrossings";"ChildDaycareAmsterdam2011";"HighAndUniAmsterdam2011";"OSMAlcoholBarsNightclubs";"OSMbikeBarriers2014";"OSMbusAndTramStops";"OSMcrossings";"OSMhostelsHotels";"OSMmotorwayJunctions";"OSMNetworkAmsterdamCrossings";"PriorityToRight";"SchoolsAmsterdam2011";"SecondarySchoolsAmsterdam2011";"SpecialSchoolsAmsterdam2011";"TrafficLightsAmsterdam"
1;32654281,47;4001023,74793;3331586,85817;25321670,86;451996,076446;161641,745141;6946;43;1037;9098;78;3;7;63;248;890;10;11;19644;44;154;16;14;65
2;17274230,01;1852609,86882;4481240,85938;10940379,28;306832,333438;106825,539912;7651;40;929;6238;143;13;26;33;201;299;43;4;12448;5;239;32;11;104
3;8043664,32;1710384,19968;3073347,97818;3259932,14;194847,262895;51137,6974446;10967;16;402;4932;52;49;76;40;147;179;137;3;7197;5;127;9;1;115
4;9948431,61;1252759,89084;3041384,2944;5654287,42;185508,016573;71572,9867157;6040;38;627;3911;116;3;16;119;136;222;25;8;7450;6;169;14;1;75
5;35035146,46;9373720,49722;3866159,62732;21795266,34;195678,449372;39299,5256822;1655;42;94;1866;1;18;12;7;50;160;3;11;4213;3;9;4;1;28
6;30595014,23;5110915,98476;3244918,51209;22239179,73;325996,803811;98981,9189279;6057;38;559;5930;103;1;3;31;148;148;9;12;10443;15;182;14;5;67
7;63827602,64;7779655,89425;2869881,62464;53178065,12;428093,235688;130023,172185;4952;27;679;7421;46;4;8;57;237;9;3;12;12233;40;105;15;5;41
8;22113947,27;2298168,30139;2472106,64019;17343672,33;281622,69586;54985,4102569;3200;0;140;4742;67;0;0;47;135;25;9;0;9272;0;110;6;6;46
