"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"MEANSPEEDA";"MEANSPEEDB";"MEANlanes";"SUMMOTweek";"MEANMOTwee";"SUMMOTwerk";"MEANMOTwer";"SUMLVweek";"MEANLVweek";"SUMLVwerk";"MEANLVwerk";"accidents";"AlcoRet";"BasScho";"BicCross";"BikBarr";"BRcross";"BTStops";"ChilDay";"HighUni";"HosHot";"MotJun";"OSMcross";"PrioRigh";"Schools";"SecScho";"SpecScho";"TraffLi"
1;32654281,47;4001023,74793;3331586,85817;25321670,86;451996,076446;161641,745141;28,0181439317995;27,8081249874645;2;3383792,3703;6408,69767102273;3802172,50242;7201,08428488636;3197168,82866;6055,24399367424;3579399,31519;6779,16536967803;6946;7;43;1037;63;9098;248;78;3;10;11;890;44;154;16;14;65
2;17274230,01;1852609,86882;4481240,85938;10940379,28;306832,333438;106825,539912;23,1772023997616;19,8190674602051;2;4045102,36182;8025,99674964286;4542636,80994;9013,16827369048;3850803,93487;7640,48399775793;4302513,96235;8536,73405228174;7651;26;40;929;33;6238;201;143;13;43;4;299;5;239;32;11;104
3;8043664,32;1710384,19968;3073347,97818;3259932,14;194847,262895;51137,6974446;15,3029008011786;14,9584733356966;1;2554530,43968;4875,05809099237;2867675,72086;5472,66358942748;2426867,97876;4631,42744038168;2727034,41276;5204,26414648856;10967;76;16;402;40;4932;147;52;49;137;3;179;5;127;9;1;115
4;9948431,61;1252759,89084;3041384,2944;5654287,42;185508,016573;71572,9867157;21,5851245903889;20,849002749634;2;2459459,60217;6812,90748523546;2762515,73236;7652,39815058172;2330611,13469;6455,98652268698;2607792,07816;7223,80077052632;6040;16;38;627;119;3911;136;116;3;25;8;222;6;169;14;1;75
5;35035146,46;9373720,49722;3866159,62732;21795266,34;195678,449372;39299,5256822;34,5341125597692;38,0509091269912;3;1387258,80432;6005,44936935065;1565257,23396;6776,00534181818;1268389,7944;5490,86491082251;1423737,25972;6163,36476069263;1655;12;42;94;7;1866;50;1;18;3;11;160;3;9;4;1;28
6;30595014,23;5110915,98476;3244918,51209;22239179,73;325996,803811;98981,9189279;26,3154185595502;25,0172908211585;2;2979535,18054;6562,85282057269;3342758,67062;7362,90456083701;2816820,75359;6204,45099909691;3172278,46829;6987,3975072467;6057;3;38;559;31;5930;148;103;1;9;12;148;15;182;14;5;67
7;63827602,64;7779655,89425;2869881,62464;53178065,12;428093,235688;130023,172185;28,1096660502531;29,3149536624675;2;2733879,19346;5072,13208434137;3071530,56704;5698,5724805937;2563033,17019;4755,16358105751;2884105,61703;5350,84530061224;4952;8;27;679;57;7421;237;46;4;3;12;9;40;105;15;5;41
8;22113947,27;2298168,30139;2472106,64019;17343672,33;281622,69586;54985,4102569;31,5327961162498;29,0086842038124;3;2798452,82167;9205,43691338816;3146777,47625;10351,2416981908;2643059,00001;8694,27302634869;2953140,61436;9714,27833671053;3200;0;0;140;47;4742;135;67;0;9;0;25;0;110;6;6;46
