"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"MEANSPEEDA";"MEANSPEEDB";"MEANlanes";"SUMMOTweek";"MEANMOTwee";"SUMMOTwerk";"MEANMOTwer";"SUMLVweek";"MEANLVweek";"SUMLVwerk";"MEANLVwerk";"accidents";"AlcoRet";"BasScho";"BicCross";"BikBarr";"BRcross";"BTStops";"ChilDay";"HighUni";"HosHot";"MotJun";"OSMcross";"PrioRigh";"Schools";"SecScho";"SpecScho";"TraffLi"
1;40000;928,465168608;1951,00370002;37120,53;333,006938285;280,900051802;33,9866663615;33,9866663615;2;6421,76674;2140,58891333333;7194,30254;2398,10084666667;5968,88495;1989,62831666667;6802,22723;2267,40907666667;1;1;1;3;1;3;2;1;1;1;1;1;2;1;1;1;1
2;40000;2693,50264602;241,749402516;37064,75;418,026296762;80,6451770213;42,8100013733;49,1699981689;2;1823,97819;1823,97819;2048,43267;2048,43267;1734,21475;1734,21475;1934,51814;1934,51814;1;1;1;2;1;3;2;1;1;1;1;1;2;2;1;1;1
3;40000;3189,1397974;38,4893600059;36772,37;105,180813832;289,209816863;39,3200009664;43,5599988301333;2;4745,73838;1581,91279333333;5329,73783;1776,57927666667;4512,18636;1504,06212;5033,348;1677,78266666667;21;1;2;4;2;3;2;2;1;1;1;2;1;1;1;1;1
4;40000;5253,5079481;324,897084004;34421,59;214,511424642;214,637959354;42,8100013733;49,1699981689;2;6235,80554;2078,60184666667;7003,16914;2334,38971333333;5928,92283;1976,30761;6613,71882;2204,57294;10;1;2;2;2;3;2;1;1;1;1;2;1;3;1;1;1
5;40000;7545,26378285;151,02443649;32303,71;391,825583907;211,680872611;45,7200012207;46,4899997711;2;3290,95459;1645,477295;3695,76156;1847,88078;3128,99683;1564,498415;3490,16527;1745,082635;3;1;1;3;1;20;1;1;1;1;1;7;1;1;1;1;1
6;40000;2738,80181083;21,5120776598;37239,69;223,615164152;320,249812517;38,4200000763;48,54000091555;2;8140,59027;2035,1475675;9141,29384;2285,32346;7739,96737;1934,9918425;8633,58683;2158,3967075;2;1;1;4;2;15;2;2;1;1;1;2;1;1;1;1;1
7;40000;1249,02586557;471,131089665;38279,84;360,109955887;377,327125178;41,1642864772429;43,9928583417857;2;13191,47596;1884,49656571429;14813,78561;2116,25508714286;12542,28385;1791,75483571429;13989,58406;1998,51200857143;1;1;1;3;1;9;2;1;1;1;1;2;1;2;1;2;1
8;40000;934,139148879;36,5977828512;39029,26;282,940385388;205,416100585;0;0;0;0;0;0;0;0;0;0;0;5;1;1;3;1;13;2;1;1;1;1;4;1;1;1;1;1
9;40000;3086,6712763;28,6129297121;36884,72;263,306773073;257,050825444;43,49499893185;42,66500091555;2;5395,07581;2697,537905;6058,30688;3029,15344;5129,56791;2564,783955;5721,61589;2860,807945;5;1;1;2;2;13;1;1;1;1;1;5;2;1;1;1;1
10;40000;2708,52094916;440,235371167;36851,24;227,820034514;229,431103722;37,1699981689;40,6500015259;2;6006,64275;6006,64275;6761,55546;6761,55546;5761,24839;5761,24839;6451,59758;6451,59758;9;1;1;2;1;6;2;2;2;1;1;12;2;1;1;1;1
11;40000;2664,71416884;6495,28372208;30840;1051,40544191;297,720558594;0;0;0;0;0;0;0;0;0;0;0;6;1;1;2;1;26;2;1;1;1;1;1;5;4;1;1;1
12;40000;1512,44402207;424,343736899;38063,21;203,235920369;203,432568264;0;0;0;0;0;0;0;0;0;0;0;19;1;1;2;1;4;2;1;1;1;1;1;2;1;1;1;1
13;40000;2167,23922528;1791,71109579;36041,05;483,729856152;183,019144967;0;0;0;0;0;0;0;0;0;0;0;3;1;2;4;1;22;2;1;1;1;1;3;4;1;1;1;1
14;40000;1410,22978668;95,5562450762;38494,21;178,143452184;163,594539926;0;0;0;0;0;0;0;0;0;0;0;5;1;1;2;1;6;2;1;1;1;1;6;1;4;1;1;3
