"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"accidents";"BasisSchoolsAmsterdam";"BicyclePathsAmsterdamCrossings";"BronNetworkCrossings";"ChildDaycareAmsterdam2011";"HighAndUniAmsterdam2011";"OSMAlcoholBarsNightclubs";"OSMbikeBarriers2014";"OSMbusAndTramStops";"OSMcrossings";"OSMhostelsHotels";"OSMmotorwayJunctions";"OSMNetworkAmsterdamCrossings";"PriorityToRight";"SchoolsAmsterdam2011";"SecondarySchoolsAmsterdam2011";"SpecialSchoolsAmsterdam2011";"TrafficLightsAmsterdam"
1;90000;4538,0537866;2333,18038955;83128,77;561,386789451;538,091361042;1;1;3;3;1;1;1;1;2;1;1;1;40;2;1;1;1;1
2;90000;5464,61516647;968,867461957;83566,52;176,41909516;141,655461232;1;1;2;3;1;1;1;2;1;1;1;1;11;2;1;1;1;1
3;90000;38104,8186496;488,968162969;51406,21;144,279961629;178,411745543;1;1;4;6;2;1;2;1;2;1;1;1;4;1;1;1;1;1
4;90000;5661,54221836;21,5120776598;84316,95;375,383979516;583,692447037;1;1;2;3;1;1;1;2;2;1;1;1;4;1;1;1;1;1
5;90000;3412,89068759;1504,19658948;85082,91;553,644568615;538,122815872;1;1;2;3;1;1;1;2;2;2;1;1;41;1;2;1;1;1
6;90000;9758,06600998;449,076556945;79792,86;503,72193894;223,161625208;1;2;5;13;1;1;1;1;2;3;1;1;20;1;2;1;1;1
7;90000;4979,21671023;60,285026165;84960,5;675,76508101;297,003525887;1;1;4;3;1;1;1;1;2;5;1;1;6;1;2;1;1;1
8;90000;8688,23264741;2512,00236145;78799,76;569,111464639;68,0887261409;2;1;3;10;1;1;1;1;2;2;1;1;6;1;2;1;2;1
9;90000;5268,88026746;4486,88420853;80244,24;326,18221451;315,886791223;1;2;3;33;3;1;1;1;2;2;1;1;27;2;2;1;1;2
10;90000;1209,02941318;1811,52920691;86979,44;718,907887718;411,697424833;1;2;2;49;2;1;1;2;2;7;1;1;61;3;1;1;1;1
11;90000;3553,15906364;765,76237282;85681,08;199,702055924;168,029967495;1;1;4;39;1;1;1;1;2;7;1;1;34;5;3;1;1;1
12;90000;5536,1645374;3753,33893181;80710,5;473,692388059;330,576398884;1;3;2;11;1;3;1;1;2;4;1;1;50;1;3;1;1;1
13;90000;4128,93147544;13812,003737;72059,06;1852,41576045;268,80038404;1;1;5;12;3;1;1;1;2;2;1;1;55;1;1;1;1;1
14;90000;2862,93241516;15367,4608358;71769,61;2187,9113274;407,338921773;1;1;3;31;1;1;1;1;3;2;1;1;41;2;1;1;1;1
15;90000;11145,5755808;12420,0257503;66434,4;2011,29582258;302,935102646;1;2;4;31;2;1;1;1;3;1;1;1;40;4;1;1;1;1
16;90000;9702,87294861;3424,84683079;76872,28;689,399169643;406,103598898;1;1;3;21;1;2;1;1;1;12;2;1;23;2;3;1;1;1
17;90000;2481,51856099;7298,04090034;80220,44;900,003801716;304,879808033;1;1;3;12;1;1;1;1;2;10;1;1;24;2;3;1;1;1
18;90000;6840,98517047;8861,78717212;74297,23;1399,0015983;81,5719051984;1;3;2;47;2;1;1;3;2;1;2;1;15;4;1;1;1;1
19;90000;8694,20893726;12307,9286459;68997,86;774,807794195;341,644855704;1;1;3;31;1;1;2;3;2;11;1;1;60;1;3;1;1;1
20;90000;5379,21580302;10242,7127905;74378,07;2077,17752342;734,138314872;1;1;2;17;1;1;1;1;1;2;1;1;37;1;1;1;1;1
21;90000;1405,56915853;7655,35974615;80939,07;556,666284529;369,016655833;1;1;2;43;1;2;1;2;2;8;1;1;29;2;1;1;1;1
22;90000;5339,68839224;14172,0154028;70488,3;360,764725941;163,722360916;1;1;2;25;1;1;1;1;2;8;1;1;18;1;1;1;1;1
23;90000;6936,00614521;8395,65178019;74668,34;868,081133231;190,699657924;2;1;2;12;1;1;1;1;4;1;1;1;42;1;5;2;1;1
24;90000;3507,96946744;24787,2097881;61704,82;2558,98407736;331,081763919;1;2;4;12;2;1;1;1;2;1;2;1;63;1;1;1;1;1
25;90000;4160,38775154;13465,6019295;72374,01;1661,66205846;326,08097627;1;1;2;28;2;1;1;1;2;2;1;1;61;1;2;1;1;1
26;90000;2500,21525536;28624,2223056;58875,56;1215,11067269;212,885119007;1;1;3;11;1;1;1;4;1;9;1;1;75;1;1;2;1;1
27;90000;2756,24913841;11010,3800723;76233,37;2045,13813201;829,077736071;1;1;2;4;1;2;1;2;2;12;1;1;54;2;3;1;1;1
28;90000;7119,99875582;32064,2338424;50815,77;1162,59174633;491,246676651;1;1;6;43;1;1;1;1;2;1;1;2;28;1;2;1;1;2
29;90000;6342,45450807;6054,60421008;77602,94;827,322157897;427,728439171;1;1;2;60;2;2;1;5;1;1;2;1;50;1;1;2;1;1
30;90000;975,242613819;17477,3247484;71547,43;1199,87557103;204,486865757;1;1;5;57;1;1;2;2;2;7;1;1;62;1;5;1;3;2
31;90000;462,775754537;20154,5249821;69382,7;2032,51417148;164,647731549;1;2;2;37;1;3;1;1;8;1;1;1;33;1;1;2;1;1
32;90000;6382,62079564;11284,6749715;72332,7;927,415476704;338,972541554;1;1;2;55;1;3;1;2;2;5;2;1;31;1;2;1;1;1
33;90000;7937,66929733;15978,6904389;66083,64;785,16544389;79,8495266104;1;1;7;44;1;1;2;1;1;7;1;1;131;1;3;1;1;1
34;90000;1549,8130888;10681,9557216;77768,23;1881,47061768;302,320277361;1;1;3;30;1;2;2;1;1;3;1;1;68;2;1;3;1;1
35;90000;3540,77366963;12766,337106;73692,89;2328,80731058;168,777167884;1;1;12;25;2;1;1;1;3;9;1;1;46;3;1;1;1;1
36;90000;2444,83215472;21875,7224983;65679,45;2051,67637181;311,014470817;1;1;2;24;1;2;1;1;1;2;1;1;34;1;2;2;1;1
37;90000;10782,5407357;10363,0881726;68854,37;1331,58382973;642,278757031;1;1;2;30;2;2;1;3;2;6;2;1;55;1;1;1;1;1
38;90000;4611,08098458;15861,9828597;69526,94;2219,7614881;351,151750713;1;1;7;32;2;2;1;2;2;18;5;1;32;1;3;2;1;1
39;90000;2766,38317307;17009,7999347;70223,82;1829,17289115;300,068097121;1;1;7;30;1;1;6;1;1;27;1;1;29;1;1;1;1;1
40;90000;5214,39505181;13957,9843369;70827,62;1255,29551813;303,928225491;1;1;3;27;1;1;1;1;2;3;1;1;82;2;1;1;1;1
41;90000;247,545143145;29891,5024211;59860,95;1057,66918049;325,04100244;1;1;3;20;2;1;1;1;3;8;5;1;34;4;1;1;1;1
42;90000;3046,20322465;15877,0153513;71076,78;1751,50195267;107,314507928;1;1;2;6;3;4;1;1;4;1;6;1;32;2;3;2;0;1
43;90000;275,455708014;25892,2425387;63832,3;1632,23267432;340,01016715;1;1;3;22;1;9;4;1;1;2;1;1;57;1;3;1;0;1
44;90000;464,801662302;18680,1846086;70855,01;1968,05427615;272,24057214;2;3;4;3;1;3;2;1;1;2;1;1;40;2;1;2;0;1
45;90000;10165,5489713;5223,92207755;74610,53;468,377631411;330,49022847;1;1;2;27;2;2;9;2;1;6;3;1;65;1;4;1;0;1
46;90000;4083,26385525;6079,17865496;79837,56;953,017410066;314,513295234;1;1;3;5;1;1;9;1;2;20;2;1;37;2;2;1;0;1
47;90000;531,176510762;7197,086471;82271,74;1333,25357824;256,075559844;1;1;4;43;1;3;1;1;4;10;1;1;15;2;4;2;0;1
48;90000;3178,33601217;10856,5861722;75965,08;1405,54288854;178,871948796;1;1;3;24;1;1;3;2;1;9;1;1;18;2;2;1;0;1
49;90000;2004,84435241;9520,69079276;78474,46;992,088908757;539,115042057;1;1;15;13;1;2;2;1;2;5;1;1;39;1;1;1;0;1
50;90000;2412,96649865;22191,7565886;65395,28;1519,86856425;367,998211505;1;1;8;4;1;1;1;2;3;1;1;1;8;1;2;1;0;1
51;90000;4707,06462395;15750,6964884;69542,24;495,243883091;40,9614515266;1;2;8;28;1;1;1;2;2;3;5;1;34;1;1;1;0;1
52;90000;3228,94868996;5107,63859002;81663,41;1828,52836867;326,047734303;1;1;4;28;1;1;1;1;4;4;2;1;35;1;1;1;0;1
53;90000;12537,0447006;730,151489431;76732,8;847,135345493;594,642107314;2;1;5;27;2;1;1;1;2;2;1;1;56;1;2;1;0;2
54;90000;18736,0387326;1004,19778535;70259,76;23,4399537677;40,8390082308;1;1;11;28;1;1;1;1;1;4;2;1;28;2;4;1;0;1
55;90000;11709,4435762;7012,69309498;71277,86;1222,05425098;758,141555061;3;1;2;15;1;1;1;1;4;2;2;1;25;2;1;2;0;3
56;90000;8937,42581853;9670,60130801;71391,97;1903,70814346;832,830970133;2;3;10;6;2;1;1;1;1;44;1;1;24;2;1;1;0;1
57;90000;4217,92589948;29431,6508213;56350,42;966,952262149;84,1417704675;1;1;2;21;1;1;2;1;2;13;1;2;18;2;3;1;0;2
58;90000;6490,96587;29256,2903023;54252,74;790,486193451;386,305021478;1;1;9;38;1;1;4;1;5;26;1;1;60;3;1;1;0;2
59;90000;10833,1597717;18340,0979237;60826,74;1592,92205018;117,522828609;1;1;3;58;1;1;5;1;1;12;8;1;66;1;1;2;0;1
60;90000;7883,18629195;7454,79115097;74662,02;1490,37812153;293,611062334;1;1;5;18;2;1;5;4;2;3;2;1;42;2;1;1;0;3
61;90000;6115,13885912;16842,8513777;67042,01;1670,72293767;592,950320673;2;1;3;36;2;1;1;2;2;12;5;0;33;1;1;1;0;1
62;90000;7409,40404393;6457,70366141;76132,89;1568,29803136;52,8263767508;1;1;3;44;1;0;2;1;2;7;5;0;31;1;1;1;0;1
63;90000;7031,28431677;10929,2069899;72039,51;1436,44393729;487,038883743;1;2;5;12;1;0;1;2;2;2;1;0;19;2;1;1;0;1
64;90000;46367,346535;2367,94912934;41264,7;95,5838539217;350,458168009;1;2;6;34;2;0;1;2;2;26;3;0;14;4;1;1;0;1
65;90000;8026,70974019;2660,59720847;79312,69;133,914128696;369,32771;1;1;15;3;1;0;1;1;1;3;1;0;36;1;1;1;0;1
66;90000;14642,7871758;4068,9967533;71288,22;846,055459359;734,668160004;1;1;3;3;2;0;3;2;1;22;1;0;32;2;1;1;0;1
