"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"MEANSPEEDA";"MEANSPEEDB";"MEANlanes";"SUMMOTweek";"MEANMOTwee";"SUMMOTwerk";"MEANMOTwer";"SUMLVweek";"MEANLVweek";"SUMLVwerk";"MEANLVwerk";"accidents";"AlcoRet";"BasScho";"BicCross";"BikBarr";"BRcross";"BTStops";"ChilDay";"HighUni";"HosHot";"MotJun";"OSMcross";"PrioRigh";"Schools";"SecScho";"SpecScho";"TraffLi"
1;250000;4252,63788597;1989,49306002;243757,87;516,73074649;514,736696038;38,810000419625;41,989998817425;2;7124,17993;1781,0449825;7963,98806;1990,997015;6488,65481;1622,1637025;7537,77089;1884,4427225;1;1;1;3;1;3;2;1;2;1;1;2;2;1;1;1;1
2;250000;31664,9772857;2618,6932703;215716,33;837,87798876;506,964008986;45,7200012207;46,4899997711;2;7311,52167;3655,760835;8211,0902;4105,5451;6951,69974;3475,84987;7754,39385;3877,196925;1;1;1;2;2;6;1;1;2;1;1;3;2;1;1;1;1
3;250000;44982,9170844;151,129322962;204865,95;711,790904901;697,793790146;0;0;0;0;0;0;0;0;0;0;0;1;1;2;4;1;3;3;3;3;1;2;1;1;2;1;1;1
4;250000;14661,3826885;2694,87819537;232643,74;2077,62490132;68,088726142;42,5642858232714;29,6628576006286;1;45863,61899;3275,972785;51589,68541;3684,97752928571;43000,43151;3071,45939357143;48123,52595;3437,39471071429;1;1;1;2;4;8;4;1;1;2;1;2;2;1;1;1;1
5;250000;11053,6266662;5060,05617824;233886,32;1047,37711876;1022,21088988;40,802499771125;45,577501297025;2;14677,28476;3669,32119;16481,56043;4120,3901075;13954,97146;3488,742865;15565,92685;3891,4817125;1;1;1;2;1;9;2;1;1;1;1;7;1;4;1;1;5
6;250000;10121,6506917;6106,59755616;233771,75;1184,28044513;1066,97840588;41,11200027466;43,30600128176;2;20533,62042;4106,724084;23079,54834;4615,909668;19586,96779;3917,393558;21879,43598;4375,887196;1;1;2;5;1;10;3;2;1;1;1;6;1;2;1;1;2
7;250000;16668,0722856;14404,5856657;218927,34;2372,17976552;470,424826824;40,47799987792;35,2760005951;2;28200,54306;5640,108612;31744,37213;6348,874426;27048,44281;5409,688562;30290,07969;6058,015938;1;1;1;4;1;43;2;1;2;1;1;11;1;2;1;2;1
8;250000;11413,5413746;27847,7675538;210738,69;4461,4602802;812,819973401;0;0;0;0;0;0;0;0;0;0;0;1;1;3;2;1;84;3;1;1;1;1;3;2;4;1;1;1
9;250000;20967,3532549;4523,10823578;224509,54;1208,47580877;610,660093078;0;0;0;0;0;0;0;0;0;0;0;2;1;1;3;1;15;3;3;1;1;1;2;3;2;1;1;1
10;250000;8572,89312587;15061,565045;226365,54;2122,24908013;284,765370652;0;0;0;0;0;0;0;0;0;0;0;1;1;1;6;2;43;2;3;1;1;1;2;5;1;1;1;2
11;250000;5661,25834758;6884,44722539;237454,29;687,103645869;156,345381523;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;7;4;1;1;1;1;1;4;3;1;1;1
12;250000;14009,5441514;58874,1293508;177116,33;4069,02052989;1060,15224532;39,4822226630333;31,5988888210778;4;98415,42035;10935,0467055556;110692,59973;12299,1777477778;92713,10219;10301,4557988889;103431,28686;11492,3652066667;1;1;2;6;1;54;2;1;1;1;1;1;2;1;1;1;1
13;250000;6375,98683258;52549,8204887;191074,19;3543,08204594;1172,10378152;29,76799964906;35,039999961873;6;75595,49371;15119,098742;85047,66498;17009,532996;71393,35283;14278,670566;79703,98819;15940,797638;1;1;1;3;2;88;3;1;1;1;1;11;2;3;1;1;4
14;250000;14274,0951219;55495,9091304;180230;1409,52976957;592,349619468;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;6;4;3;1;1;1;1;2;3;2;1;1
15;250000;7180,87494848;51777,7392798;191041,39;5788,64308148;726,877733996;31,420000076275;29,254999637575;2;19150,47498;4787,618745;21556,8964;5389,2241;18368,10466;4592,026165;20569,59085;5142,3977125;2;1;1;2;3;117;4;1;1;1;1;10;1;2;1;1;2
