"ID";"TotAreaM2";"WaterM2";"BuildUpM2";"OpenM2";"BRONnetwM";"BikeOsmM";"MEANSPEEDA";"MEANSPEEDB";"MEANlanes";"SUMMOTweek";"MEANMOTwee";"SUMMOTwerk";"MEANMOTwer";"SUMLVweek";"MEANLVweek";"SUMLVwerk";"MEANLVwerk";"accidents";"AlcoRet";"BasScho";"BicCross";"BikBarr";"BRcross";"BTStops";"ChilDay";"HighUni";"HosHot";"MotJun";"OSMcross";"PrioRigh";"Schools";"SecScho";"SpecScho";"TraffLi"
21;1015145,91;59740,7205454;151194,058746;804211,13;27324,9175048;6541,01163792;32,5711111492583;29,2433333926722;2;192225,50738;5339,59742722222;216157,24972;6004,36804777778;181916,81;5053,24472222222;203062,13888;5640,61496888889;2;1;2;32;4;644;8;9;1;1;3;207;4;21;1;1;4
22;2809287,96;549430,002355;281663,69874;1978194,26;45769,3409066;16199,2331435;33,8088057930791;29,9380596075507;2;356216,26669;5316,66069686567;400075,98677;5971,28338462686;333016,84662;4970,4006958209;375016,03099;5597,2541938806;1;10;3;119;4;1114;20;11;1;1;2;125;2;12;2;1;4
23;1412267,79;93661,1074774;207765,566024;1110841,12;30302,8142492;7613,92678178;29,3086275025887;29,2221568705983;2;331073,91497;6491,64539156862;372167,96231;7297,41102568627;314083,32966;6158,49666;351817,07049;6898,37393117647;3;2;2;50;1;717;17;2;4;6;5;18;3;2;3;1;3
24;2421380,16;257262,788392;74784,1425556;2089333,23;25899,7707783;11587,655958;42,2662067742103;41,3468964346517;2;166321,39216;5735,22041931034;187033,116;6449,41779310345;156973,6886;5412,8858137931;175521,9613;6052,48142413793;1;2;1;36;4;311;2;7;4;7;1;150;10;15;3;1;9
25;1770498,79;193272,081695;284626,083674;1292600,62;36692,2759134;9184,5827577;26,772600021362;26,545800018312;2;255500,13479;5110,0026958;286711,79556;5734,2359112;242919,2222;4858,384444;271953,76792;5439,0753584;1;1;6;87;4;878;37;5;2;1;1;33;1;18;1;1;3
26;1116975,87;76968,7444698;195228,404201;844778,72;22030,2390214;9808,27702633;29,2813889185645;30,2777777910205;2;221726,24898;6159,06247166667;249156,1162;6921,00322777778;209321,64381;5814,49010583333;234166,19697;6504,6165825;2;5;3;46;1;502;20;6;2;2;0;78;4;5;1;1;10
27;599727,59;26000,5240768;114351,35163;459375,71;13915,5684827;2791,97122173;30,5038096110095;30,0499997366084;2;72564,53709;3455,45414714286;81615,18531;3886,43739571429;69042,32218;3287,72962761905;77154,29968;3674,01427047619;2;1;2;16;4;298;6;4;0;18;0;15;2;14;7;3;8
28;2858951,22;481334,948585;428650,360871;1948965,91;49454,8282791;15436,2604317;28,44771445138;26,9888570513029;2;368826,54918;5268,95070257143;414534,85619;5921,926517;348312,55668;4975,89366685714;389223,6286;5560,33755142857;6;1;6;107;55;1179;28;6;0;1;0;20;28;19;1;1;8
29;1543843,03;88587,9294971;213360,829111;1241894,27;27441,5956464;15195,6646182;22,4901471698989;22,046029483566;2;412842,81295;6071,2178375;463621,81838;6817,96791735294;389920,35343;5734,12284455882;436436,51372;6418,18402529412;4;1;2;208;4;590;21;9;0;2;0;3;4;12;4;2;2
30;1496175,9;90814,3220133;183639,219757;1221722,36;29127,1888568;9827,18347599;19,2520212607191;23,2647870702967;2;492438,41027;5238,70649223404;553429,05554;5887,54314404255;465127,24766;4948,16220914894;520071,39887;5532,67445606383;2;1;4;87;9;458;18;11;0;2;0;27;2;8;5;1;5
31;273935,4;20885,7090804;138954,854775;114094,84;6578,04299447;466,033396583;18,4099996355;13,1700000763;1;35656,93638;3961,88182;39986,19769;4442,91085444445;34244,05137;3804,89459666667;38195,56406;4243,95156222222;3;1;1;11;1;163;6;2;0;1;0;32;0;8;3;1;2
32;287683,7;35512,547588;138373,116637;113798,04;7950,12146091;2120,09887815;16,3011539532565;15,8507689696007;2;96037,51025;3693,75039423077;107789,61527;4145,75443346154;92092,11876;3542,00456769231;102791,48059;3953,51848423077;2;1;2;17;2;200;4;12;0;2;0;22;0;10;1;1;4
33;349221,48;13563,823077;165972,99602;169684,66;8112,04581154;2139,06249038;23,3647999954226;19,3800001907287;2;144733,09621;5789,3238484;162422,75949;6496,9103796;138476,9318;5539,077272;154480,68478;6179,2273912;3;1;1;10;2;192;4;2;0;1;0;20;0;14;1;0;10
34;308594,69;10508,7464076;157450,561827;140635,38;7537,30232037;2286,05862221;23,3099999427609;22,9683332443083;2;91362,38828;7613,53235666667;102562,80398;8546,90033166667;87303,15447;7275,2628725;97406,45417;8117,20451416667;3;1;4;11;2;162;4;2;0;2;0;7;0;2;1;0;7
35;221162,75;4088,8433079;94346,0428867;122727,86;4515,86061821;2076,67009837;21,6849998235645;15,9662501017233;2;146820,73765;6117,53073541667;164806,42996;6866,93458166667;140387,79444;5849,491435;156638,4583;6526,60242916667;5;4;4;36;8;96;22;17;0;1;0;11;0;18;3;0;7
36;532036,12;20753,7679998;42194,2325066;469088,12;2220,42385021;2715,74267619;21,6611765132353;27,2570590411965;2;74675,23886;4392,66110941176;83882,64605;4934,27329705882;70381,85454;4140,10909058824;78837,47658;4637,49862235294;2;1;6;103;4;39;6;9;0;2;0;8;0;6;1;0;7
37;1088412,76;65850,1182111;368099,298914;654463,34;25809,3281006;10605,4114548;20,2114034117308;22,8677191901596;2;327190,77747;5740,18907842105;367292,49187;6443,72792754386;311743,30045;5469,18070964912;348558,52222;6115,06179333333;1;2;4;26;4;541;2;19;0;1;0;2;0;6;1;0;6
38;405083,05;42582,9967711;83968,9123987;278531,14;7560,21042854;2436,0168403;19,2816664775155;22,1037498315042;2;89784,51819;3741,02159125;100663,81733;4194,32572208333;84970,15723;3540,42321791667;95692,52868;3987,188695;3;1;1;29;1;170;16;10;0;2;0;30;0;23;5;0;5
39;741242,83;32386,6947609;114946,576156;593909,56;17414,7686103;4569,04841308;18,2481033719813;16,6077585878004;2;322172,23545;5554,69371465517;362140,5073;6243,80185;304905,79309;5256,99643258621;340184,82764;5865,25564896552;1;1;2;56;1;336;8;11;0;1;0;18;0;12;2;0;1
40;567424,34;36938,1026286;291458,596622;239027,64;12234,2385646;6864,66511281;22,0995831489625;20,0395833452524;2;106161,89404;4423,41225166667;119149,03515;4964,54313125;101867,64661;4244,48527541667;113705,64635;4737,73526458333;5;1;3;41;1;252;11;7;0;1;0;22;0;27;2;0;3
